Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority,Keyword Difficulty,Average CPC,Search Intent
camp with mom,56.9,212,0,0.00%,2.00%,4,55.5,Long-term Target,Medium,26,1.16,Informational
live math help free,49.5,94,0,0.00%,2.00%,1,55.5,Content Optimization,Medium,69,1.41,Informational
first class tutoring,47.1,70,0,0.00%,2.00%,1,55.5,Content Optimization,Medium,45,3.57,Informational
interactive games for 6 year olds,50.6,104,0,0.00%,2.00%,2,55.5,Long-term Target,Medium,22,0.7,Informational
android tutor,33.2,13,0,0.00%,2.00%,0,55.5,Content Optimization,Medium,35,4.1,Informational
eastern to bjt time,42.1,39,0,0.00%,2.00%,0,55.5,Content Optimization,Medium,26,1.22,Informational
kumon age range,40.0,30,0,0.00%,2.00%,0,55.5,Content Optimization,Medium,40,1.2,Informational
card tutor,35.4,17,0,0.00%,2.00%,0,55.5,Content Optimization,Medium,49,2.92,Informational
how much for math tutor,55.1,176,0,0.00%,2.00%,3,55.5,Long-term Target,Medium,28,4.55,Informational
dyscalculia tutor near me,53.1,140,0,0.00%,2.00%,2,55.5,Long-term Target,Medium,33,3.23,Informational
how much do math teachers make,38.6,25,0,0.00%,2.00%,0,55.5,Content Optimization,Medium,27,0.89,Informational
early childhood tutoring,54.3,158,0,0.00%,2.00%,3,55.5,Long-term Target,Medium,38,4.62,Informational
elon promo code,47.2,70,0,0.00%,2.00%,1,55.5,Content Optimization,Medium,35,1.34,Informational
math tutor austin,75.8,1190,0,0.00%,2.00%,23,55.5,Long-term Target,Medium,37,2.96,Informational
math company,57.1,215,0,0.00%,2.00%,4,55.4,Long-term Target,Medium,33,1.2,Informational
code promo jane de boy,41.1,34,0,0.00%,2.00%,0,55.4,Content Optimization,Medium,22,1.35,Informational
how to find a math tutor,60.4,302,0,0.00%,2.00%,6,55.4,Long-term Target,Medium,12,4.4,Informational
ai math tool,37.2,21,0,0.00%,2.00%,0,55.4,Content Optimization,Medium,53,3.5,Informational
maths home tutor,71.2,836,0,0.00%,2.00%,16,55.4,Long-term Target,Medium,34,4.77,Informational
3d modeling tutors,39.3,27,0,0.00%,2.00%,0,55.4,Content Optimization,Medium,46,2.64,Informational
educational tutors,36.0,18,0,0.00%,2.00%,0,55.4,Content Optimization,Medium,37,4.05,Informational
math and tutor,61.5,338,0,0.00%,2.00%,6,55.4,Long-term Target,Medium,33,3.18,Informational
am tutoring,34.6,15,0,0.00%,2.00%,0,55.4,Content Optimization,Medium,33,4.18,Informational
99 math join code,32.1,11,0,0.00%,2.00%,0,55.4,Content Optimization,Medium,31,1.62,Informational
mathematics ai,66.1,528,0,0.00%,2.00%,10,55.4,Long-term Target,Medium,61,3.43,Informational
math tutor needed,48.6,81,0,0.00%,2.00%,1,55.4,Content Optimization,Medium,40,4.51,Informational
extracurricular activities for kindergarteners,50.7,101,0,0.00%,2.00%,2,55.3,Long-term Target,Medium,10,0.71,Informational
avis elementary school,38.5,24,0,0.00%,2.00%,0,55.3,Content Optimization,Medium,17,1.9,Informational
best homeschool math curriculum for dyscalculia,50.3,99,0,0.00%,2.00%,1,55.3,Long-term Target,Medium,40,1.59,Commercial
math tutor prices,52.4,123,0,0.00%,2.00%,2,55.3,Long-term Target,Medium,50,4.28,Transactional
ai learning tablet,40.9,32,0,0.00%,2.00%,0,55.3,Content Optimization,Medium,55,8.74,Informational
best homeschool math curriculum for adhd,55.6,177,0,0.00%,2.00%,3,55.3,Long-term Target,Medium,49,1.28,Commercial
educational computer games,46.0,58,0,0.00%,2.00%,1,55.3,Content Optimization,Medium,40,2.4,Informational
free maths tuition,34.2,14,0,0.00%,2.00%,0,55.3,Content Optimization,Medium,69,1.82,Informational
math potential,42.8,40,0,0.00%,2.00%,0,55.3,Content Optimization,Medium,39,1.36,Informational
elon as a kid,32.3,11,0,0.00%,2.00%,0,55.3,Content Optimization,Medium,32,1.54,Informational
kids school website,42.4,38,0,0.00%,2.00%,0,55.3,Content Optimization,Medium,32,1.57,Informational
how much does elon musk make a week,34.8,15,0,0.00%,2.00%,0,55.3,Content Optimization,Medium,21,0.84,Informational
free tutoring online math,53.0,132,0,0.00%,2.00%,2,55.3,Long-term Target,Medium,45,3.7,Informational
free tutors for math,41.8,35,0,0.00%,2.00%,0,55.3,Content Optimization,Medium,69,3.44,Informational
elon download apk,42.7,39,0,0.00%,2.00%,0,55.3,Content Optimization,Medium,24,1.32,Informational
how much does elon musk make a day,49.4,86,0,0.00%,2.00%,1,55.3,Content Optimization,Medium,6,0.97,Informational
math software education,56.5,193,0,0.00%,2.00%,3,55.2,Long-term Target,Medium,31,3.49,Informational
at what age should a child know their multiplication tables,48.3,75,0,0.00%,2.00%,1,55.2,Content Optimization,Medium,19,1.0,Informational
2nd grade tutoring at home,51.2,104,0,0.00%,2.00%,2,55.2,Long-term Target,Medium,23,1.69,Informational
login elon,50.1,93,0,0.00%,2.00%,1,55.2,Long-term Target,Medium,36,1.82,Informational
edge read aloud not working,45.2,51,0,0.00%,2.00%,1,55.2,Content Optimization,Medium,30,0.94,Informational
how much do math tutors charge per hour,32.5,11,0,0.00%,2.00%,0,55.2,Content Optimization,Medium,21,1.78,Informational
4th grade tutoring near me,43.9,45,0,0.00%,2.00%,0,55.2,Content Optimization,Medium,38,1.7,Informational
1 to 1 maths tuition,65.1,457,0,0.00%,2.00%,9,55.2,Long-term Target,Medium,42,1.51,Informational
frank card application,55.3,165,0,0.00%,2.00%,3,55.2,Long-term Target,Medium,13,1.81,Informational
kids learning platform for schools,56.4,187,0,0.00%,2.00%,3,55.2,Long-term Target,Medium,25,2.26,Informational
black child tutoring services,32.5,11,0,0.00%,2.00%,0,55.2,Content Optimization,Medium,25,2.52,Informational
goodbye teacher cards,59.8,267,0,0.00%,2.00%,5,55.2,Long-term Target,Medium,17,1.93,Informational
kindergarden tutor,38.6,23,0,0.00%,2.00%,0,55.2,Content Optimization,Medium,36,2.83,Informational
educational games for 12 year olds,46.8,61,0,0.00%,2.00%,1,55.2,Content Optimization,Medium,20,2.2,Informational
how much is kumon tutoring,45.6,53,0,0.00%,2.00%,1,55.2,Content Optimization,Medium,34,2.23,Informational
free tutoring for kids with adhd,51.2,101,0,0.00%,2.00%,2,55.2,Long-term Target,Medium,52,2.66,Informational
chat gpt for students discount,48.5,75,0,0.00%,2.00%,1,55.1,Content Optimization,Medium,30,0.75,Informational
maths home tutors near me,46.9,61,0,0.00%,2.00%,1,55.1,Content Optimization,Medium,37,3.64,Informational
free math classes,61.3,307,0,0.00%,2.00%,6,55.1,Long-term Target,Medium,53,1.59,Informational
lifetime summer camps,36.7,18,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,15,1.07,Informational
learning games 7 year olds,39.4,25,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,37,2.04,Informational
maths tuition for kids,48.5,74,0,0.00%,2.00%,1,55.1,Content Optimization,Medium,30,1.44,Informational
ai tutoring services,6.5,35,2,5.71%,0.29%,0,55.1,Long-term Target,Medium,59,7.13,Informational
k5 learning math,47.3,64,0,0.00%,2.00%,1,55.1,Content Optimization,Medium,31,4.59,Informational
claires hiring,35.8,16,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,59,2.89,Informational
maths tuition online near me,38.4,22,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,39,0.75,Informational
math teaching online,44.1,44,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,50,1.72,Informational
7 year old struggling with maths,38.5,22,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,16,1.15,Informational
math tutor for 1st grade,45.0,49,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,36,3.87,Informational
kid learning games,37.3,19,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,38,4.06,Informational
live math tutor free,36.4,17,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,50,3.82,Informational
gaming camps near me,63.3,374,0,0.00%,2.00%,7,55.1,Long-term Target,Medium,28,1.27,Informational
games like math blaster,32.1,10,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,34,1.14,Informational
math help near me,41.3,31,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,35,1.68,Informational
mathematics tutoring jobs,40.5,28,0,0.00%,2.00%,0,55.1,Content Optimization,Medium,36,4.66,Informational
english tutor for primary school,68.0,584,0,0.00%,2.00%,11,55.1,Long-term Target,Medium,26,2.16,Informational
computer tutors,60.3,273,0,0.00%,2.00%,5,55.0,Long-term Target,Medium,48,2.9,Informational
la tutor,55.0,151,0,0.00%,2.00%,3,55.0,Long-term Target,Medium,53,4.0,Informational
fail me not tutoring,39.0,23,0,0.00%,2.00%,0,55.0,Content Optimization,Medium,53,7.63,Informational
atypical common sense media,34.9,14,0,0.00%,2.00%,0,55.0,Content Optimization,Medium,16,0.95,Informational
evaluate 5/11,48.3,70,0,0.00%,2.00%,1,55.0,Content Optimization,Medium,27,1.11,Informational
how much does a tutor cost per hour,67.2,541,0,0.00%,2.00%,10,55.0,Long-term Target,Medium,19,2.65,Transactional
math tutor wanted,41.5,31,0,0.00%,2.00%,0,55.0,Content Optimization,Medium,37,3.11,Informational
empathy worksheets,57.8,202,0,0.00%,2.00%,4,55.0,Long-term Target,Medium,34,1.42,Informational
sythesis math,1.0,99,69,69.70%,0.00%,0,55.0,Long-term Target,Medium,26,1.52,Navigational
math tutor in india,50.4,89,0,0.00%,2.00%,1,55.0,Long-term Target,Medium,36,4.48,Informational
ia mathe,42.8,36,0,0.00%,2.00%,0,55.0,Content Optimization,Medium,49,1.48,Informational
easy tutor,56.8,182,0,0.00%,2.00%,3,54.9,Long-term Target,Medium,31,3.26,Informational
3rd grade tutoring at home,52.3,108,0,0.00%,2.00%,2,54.9,Long-term Target,Medium,38,2.38,Informational
best tutoring software,75.1,1030,0,0.00%,2.00%,20,54.9,Long-term Target,Medium,50,7.8,Commercial
ipad flashcards,37.6,19,0,0.00%,2.00%,0,54.9,Content Optimization,Medium,22,1.06,Informational
how much does kumon tutoring cost,48.4,69,0,0.00%,2.00%,1,54.9,Content Optimization,Medium,19,1.76,Transactional
best math teacher on youtube in india,47.7,63,0,0.00%,2.00%,1,54.9,Content Optimization,Medium,53,2.03,Commercial
free math tutors,41.4,30,0,0.00%,2.00%,0,54.9,Content Optimization,Medium,52,3.74,Informational
math tutoring websites,59.2,236,0,0.00%,2.00%,4,54.9,Long-term Target,Medium,32,4.02,Informational
cost of tutoring near me,49.5,79,0,0.00%,2.00%,1,54.9,Content Optimization,Medium,34,3.16,Transactional
math help apps,40.3,26,0,0.00%,2.00%,0,54.9,Content Optimization,Medium,41,1.76,Informational
global summer academy,34.0,12,0,0.00%,2.00%,0,54.9,Content Optimization,Medium,13,1.07,Informational
children's math software,39.3,23,0,0.00%,2.00%,0,54.9,Content Optimization,Medium,33,1.89,Informational
in person tutors,54.2,135,0,0.00%,2.00%,2,54.9,Long-term Target,Medium,31,2.63,Informational
free online tutoring,74.6,975,0,0.00%,2.00%,19,54.9,Long-term Target,Medium,69,4.14,Informational
building confidence in young students,49.1,74,0,0.00%,2.00%,1,54.9,Content Optimization,Medium,8,0.72,Informational
synergy math,3.3,128,36,28.12%,0.00%,0,54.9,Long-term Target,Medium,50,1.63,Informational
math and reading tutors near me,48.4,68,0,0.00%,2.00%,1,54.9,Content Optimization,Medium,35,2.05,Informational
fun educational games for 4 year olds,48.3,67,0,0.00%,2.00%,1,54.9,Content Optimization,Medium,35,2.8,Informational
coding for 10 year olds,74.0,937,0,0.00%,2.00%,18,54.9,Long-term Target,Medium,23,1.82,Informational
synthisis tutor,1.0,96,67,69.79%,0.00%,0,54.9,Long-term Target,Medium,36,4.3,Informational
synthisis ai,3.9,137,29,21.17%,0.00%,0,54.9,Long-term Target,Medium,42,3.41,Informational
camp with mom gameplay,36.4,16,0,0.00%,2.00%,0,54.9,Content Optimization,Medium,21,1.73,Informational
math tutor 5th grade,38.3,20,0,0.00%,2.00%,0,54.8,Content Optimization,Medium,45,3.29,Informational
camp games,66.2,467,0,0.00%,2.00%,9,54.8,Long-term Target,Medium,34,1.81,Informational
indian wells tutoring services,43.1,36,0,0.00%,2.00%,0,54.8,Content Optimization,Medium,34,1.63,Informational
magical spin avis,72.6,823,0,0.00%,2.00%,16,54.8,Long-term Target,Medium,32,1.67,Informational
maths teacher pay,41.6,30,0,0.00%,2.00%,0,54.8,Content Optimization,Medium,45,1.09,Informational
how much do spanish tutors charge,36.0,15,0,0.00%,2.00%,0,54.8,Content Optimization,Medium,26,2.25,Informational
math tutoring centers near me,46.2,51,0,0.00%,2.00%,1,54.8,Content Optimization,Medium,26,1.64,Informational
maths teacher online,53.7,124,0,0.00%,2.00%,2,54.8,Long-term Target,Medium,49,1.94,Informational
math tutor from india,49.3,74,0,0.00%,2.00%,1,54.8,Content Optimization,Medium,34,3.12,Informational
math tutoring cost per hour,53.5,120,0,0.00%,2.00%,2,54.8,Long-term Target,Medium,23,2.17,Transactional
home school tutors,39.9,24,0,0.00%,2.00%,0,54.8,Content Optimization,Medium,46,4.27,Informational
darpa wiki,42.0,31,0,0.00%,2.00%,0,54.8,Content Optimization,Medium,36,1.45,Informational
3rd grade tutors near me,39.2,22,0,0.00%,2.00%,0,54.8,Content Optimization,Medium,35,4.27,Informational
e math help,35.6,14,0,0.00%,2.00%,0,54.8,Content Optimization,Medium,36,1.85,Informational
july holiday camp,42.1,31,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,30,1.46,Informational
in-home tutoring,75.7,1044,0,0.00%,2.00%,20,54.7,Long-term Target,Medium,34,2.76,Informational
many tutor,32.9,10,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,50,3.67,Informational
math online tutoring,75.4,1000,0,0.00%,2.00%,20,54.7,Long-term Target,Medium,36,4.19,Informational
free adaptive math programs,37.2,17,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,56,1.09,Informational
best online math teacher,40.4,25,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,46,2.44,Commercial
ai apps for math,48.3,64,0,0.00%,2.00%,1,54.7,Content Optimization,Medium,54,3.2,Informational
free chromebook for homeschool,36.3,15,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,44,0.69,Informational
kids got kobs in soacex,35.7,14,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,26,1.54,Informational
boosting self confidence in a child,47.3,56,0,0.00%,2.00%,1,54.7,Content Optimization,Medium,24,0.63,Informational
elon musk children school,37.8,18,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,14,1.86,Informational
elon musk tablet,33.0,10,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,32,1.45,Informational
maths tuition for class 12 near me,54.8,137,0,0.00%,2.00%,2,54.7,Long-term Target,Medium,33,0.8,Informational
home school tutoring,60.9,263,0,0.00%,2.00%,5,54.7,Long-term Target,Medium,47,4.3,Informational
become a math tutor online,46.4,50,0,0.00%,2.00%,1,54.7,Content Optimization,Medium,37,1.91,Informational
educational mario games,40.5,25,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,31,4.36,Informational
easy way to learn math,58.5,200,0,0.00%,2.00%,4,54.7,Long-term Target,Medium,23,3.93,Informational
english teacher home tuition,52.0,99,0,0.00%,2.00%,1,54.7,Long-term Target,Medium,24,0.87,Informational
comb over with design,36.4,15,0,0.00%,2.00%,0,54.7,Content Optimization,Medium,16,1.24,Informational
systhesis tutor,1.0,90,73,81.11%,0.00%,0,54.7,Long-term Target,Medium,41,4.59,Informational
synthesia math,1.0,90,47,52.22%,0.00%,0,54.7,Long-term Target,Medium,25,1.6,Navigational
best learning games,48.0,60,0,0.00%,2.00%,1,54.6,Content Optimization,Medium,59,6.2,Commercial
learning synthesizer,34.7,12,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,24,3.22,Navigational
home tutor for applied maths,53.6,116,0,0.00%,2.00%,2,54.6,Long-term Target,Medium,39,1.72,Informational
ipad maths,46.9,52,0,0.00%,2.00%,1,54.6,Content Optimization,Medium,39,1.32,Informational
code tutor,67.0,480,0,0.00%,2.00%,9,54.6,Long-term Target,Medium,35,4.16,Informational
chrisman report,33.2,10,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,25,1.42,Informational
ai math,31.7,2767,54,1.95%,0.05%,1,54.6,Content Optimization,Medium,85,3.56,Informational
1st grade tutors,41.3,27,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,44,3.84,Informational
math academy near me,60.3,247,0,0.00%,2.00%,4,54.6,Long-term Target,Medium,50,1.47,Informational
synthasis ai,3.8,126,30,23.81%,0.00%,0,54.6,Long-term Target,Medium,59,3.03,Informational
8605 santa monica blvd west hollywood ca 90069,40.7,25,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,5,1.03,Informational
chromebooks for education $99,50.3,79,0,0.00%,2.00%,1,54.6,Long-term Target,Medium,30,1.69,Informational
maths trainer ai,34.8,12,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,62,3.3,Informational
maths tutorial,56.7,163,0,0.00%,2.00%,3,54.6,Long-term Target,Medium,50,3.52,Informational
maths tuition centre near me,62.8,314,0,0.00%,2.00%,6,54.6,Long-term Target,Medium,30,1.02,Informational
astro customer service,39.3,21,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,17,1.22,Informational
chatgpt tutor,51.1,86,0,0.00%,2.00%,1,54.6,Long-term Target,Medium,34,3.06,Informational
240 tutoring promo code,34.1,11,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,31,3.15,Informational
games for kids,34.1,11,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,33,1.68,Informational
maths personal tutor,34.1,11,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,46,4.61,Informational
after school math programs near me,36.7,15,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,19,0.74,Informational
chat gpt family plan,42.6,31,0,0.00%,2.00%,0,54.6,Content Optimization,Medium,22,1.21,Informational
homeschool pods near me,55.8,147,0,0.00%,2.00%,2,54.6,Long-term Target,Medium,18,1.27,Informational
homeschooling tutor,69.1,570,0,0.00%,2.00%,11,54.5,Long-term Target,Medium,34,4.55,Informational
ai kid,53.6,112,0,0.00%,2.00%,2,54.5,Long-term Target,Medium,59,3.71,Informational
ai for school,70.4,691,3,0.43%,1.57%,10,54.5,Long-term Target,Medium,53,2.72,Informational
kids learning tablet,68.5,544,0,0.00%,2.00%,10,54.5,Long-term Target,Medium,36,3.6,Informational
home schooling tutors near me,50.0,74,0,0.00%,2.00%,1,54.5,Content Optimization,Medium,40,2.23,Informational
elementary tutoring,69.8,602,0,0.00%,2.00%,12,54.5,Long-term Target,Medium,50,3.6,Informational
easy tutor login,35.6,13,0,0.00%,2.00%,0,54.5,Content Optimization,Medium,31,3.97,Informational
kids try,37.8,17,0,0.00%,2.00%,0,54.5,Content Optimization,Medium,54,1.43,Informational
boot camp games,54.5,124,0,0.00%,2.00%,2,54.5,Long-term Target,Medium,21,1.2,Informational
in-person tutor,52.4,98,0,0.00%,2.00%,1,54.5,Long-term Target,Medium,31,3.04,Informational
math and english tutor,65.8,409,0,0.00%,2.00%,8,54.5,Long-term Target,Medium,35,2.87,Informational
kids learning video games,8.7,71,2,2.82%,0.18%,0,54.5,Long-term Target,Medium,37,3.28,Informational
kumon math tutoring cost,47.1,51,0,0.00%,2.00%,1,54.5,Content Optimization,Medium,23,2.69,Transactional
claire's canada francais,50.4,76,0,0.00%,2.00%,1,54.5,Long-term Target,Medium,45,2.85,Informational
children's camp,40.0,22,0,0.00%,2.00%,0,54.4,Content Optimization,Medium,40,1.92,Informational
extracurricular activities for 5 year olds,35.8,13,0,0.00%,2.00%,0,54.4,Content Optimization,Medium,23,0.97,Informational
hiring part-time tutors for autism and adhd,54.0,115,0,0.00%,2.00%,2,54.4,Long-term Target,Medium,28,2.52,Informational
math and reading tutor near me,55.5,137,0,0.00%,2.00%,2,54.4,Long-term Target,Medium,36,2.5,Informational
